id	question	answer	Type	predicted_label	True-label
1	Would you like to go for happy hour?	If you’re going, I’m in.	conditional	Yes	Yes
2	Would you like to go for happy hour?	I never turn down discounted drinks.	sarcastic	No	Yes
3	Would you like to go for happy hour?	Sounds fun, though I’d need to check my schedule.	contrastive	No	Yes
4	Would you like to go for happy hour?	Where are we going?	ambiguous	Yes	Yes
5	Hey are you still living in Maryland?	If you do not count being on the road a lot.	conditional	No	Yes
6	Hey are you still living in Maryland?	My mail could answer you.	sarcastic	Yes	Yes
7	Hey are you still living in Maryland?	Though I might move soon.	contrastive	Yes	Yes
8	Hey are you still living in Maryland?	I am looking for a new apartment.	ambiguous	Yes	Yes
9	Would you like to go for coffee to catch up more?	If you have nothing to do.	conditional	No	Yes
10	Would you like to go for coffee to catch up more?	I run on caffeine and nostalgia.	sarcastic	No	Yes
11	Would you like to go for coffee to catch up more?	It is better than just standing here and talking.	contrastive	Yes	Yes
12	Would you like to go for coffee to catch up more?	Let’s set something up.	ambiguous	Yes	Yes
13	Will you wait in line if the food is good?	If it’s under 30 minutes.	conditional	No	Yes
14	Will you wait in line if the food is good?	Sure—I’ll wait an hour if it’s legendary.	sarcastic	Yes	Yes
15	Will you wait in line if the food is good?	I have my limits though.	contrastive	Yes	Yes
16	Will you wait in line if the food is good?	Depends how hungry I am.	ambiguous	Yes	Yes
17	Did you like the Harry Potter series?	I read the books to my kids and thought they were good.	conditional	Yes	Yes
18	Did you like the Harry Potter series?	I cry at the ending.	sarcastic	No	Yes
19	Did you like the Harry Potter series?	Though I’ve read other stuff since.	contrastive	Yes	Yes
20	Did you like the Harry Potter series?	Which character do you dislike the most?	ambiguous	No	Yes
21	Would you like to meet my new boyfriend?	If he’s as cool as you.	conditional	Yes	Yes
22	Would you like to meet my new boyfriend?	Let’s see if he passes the vibe check.	sarcastic	No	Yes
23	Would you like to meet my new boyfriend?	Is he better than ex?	contrastive	No	Yes
24	Would you like to meet my new boyfriend?	Maybe later, I have no time now.	ambiguous	No	Yes
25	Would you like to meet me for a drink?	If I finished this task.	conditional	No	Yes
26	Would you like to meet me for a drink?	How can I refuse drinking with you.	sarcastic	No	Yes
27	Would you like to meet me for a drink?	Yeah, let’s plan something casual.	contrastive	Yes	Yes
28	Would you like to meet me for a drink?	We can meet for a drink later.	ambiguous	Yes	Yes
29	Can I have your number so we can reconnect later?	If you promise to text first.	conditional	No	Yes
30	Can I have your number so we can reconnect later?	Just don’t go host me.	sarcastic	No	Yes
31	Can I have your number so we can reconnect later?	Message is better than calling.	contrastive	Yes	Yes
32	Can I have your number so we can reconnect later?	Then I will be waiting for you.	ambiguous	Yes	Yes
33	Are we playing basketball this weekend?	If it’s not too early.	conditional	No	Yes
34	Are we playing basketball this weekend?	I’ll bring the awkward jump shots.	sarcastic	No	Yes
35	Are we playing basketball this weekend?	I think it is better than just staying at home.	contrastive	No	Yes
36	Are we playing basketball this weekend?	Let’s confirm soon.	ambiguous	Yes	Yes
