id	question	answer	type	predicted_label_1	pred._senti._mistral-P2	pred._senti._mistral-P1
1	Did you take your dream vacation?	If daydreams count, I took five.	conditional	positive	positive	Neutral
2	Did you take your dream vacation?	Oh yes, it was magical—on Instagram.	sarcastic	positive	positive	P
3	Did you take your dream vacation?	It was better than nothing.	contrastive	positive	neg	N
4	Do you have a bicycle?	If it’s not stolen by now, yes.	sarcastic	positive	pos	Neutral
5	Are you a heavy sleeper?	I hope so.	ambiguous	positive	positive	Neutral
6	Have you got any children?	Sure—about thirty imaginary ones.	sarcastic	positive	pos	Neutral
7	Have you got any children?	I will.	ambiguous	positive	positive	Neutral
8	Can you take the bus?	If the car arrived 5 minutes later, I might  catch it.	conditional	positive	neg	Neutral
9	Can you take the bus?	Oh yeah, I live for public transport surprises.	sarcastic	positive	pos	P 
10	Are you free this weekend?	Oh yeah, I cleared my calendar for spontaneous fun.	sarcastic	positive	pos	P 
11	Have you read any books by Terry Pratchett?	I’ve heard so much about him, I could almost fake it.	sarcastic	positive	positive	Neutral
12	Did you finish the project on time?	It won't be too late.	contrastive	positive	neg	Neutral
13	Do you still live in the neighborhood?	It is nearby.	contrastive	positive	positive	Neutral
14	Would you like to go ice skating?	If I did not break my leg then might go skating with you.	conditional	positive	neg	N
15	Do you work here in town?	If I can find a job in town, I would work here.	conditional	positive	positive	Neutral
16	Do you work here in town?	Sure—I practically live at the office.	sarcastic	positive	pos	P 
17	Want to get together this weekend?	Let us see.	ambiguous	positive	Unclassified	Neutral
18	Would you be happy to take a pay cut?	Oh absolutely—I love making less for doing more.	sarcastic	positive	pos	P 
19	Is the beach a place you like to go?	Oh yeah, sand in my shoes is the dream.	sarcastic	positive	pos	P
20	Do you see any of our old friends?	Sure—we all meet at the reunion in my dreams.	sarcastic	positive	pos	P 
21	Do you have a dog?	Sure—I walk my invisible dog twice a day.	sarcastic	positive	pos	Neutral
22	Do you have a dog?	I like dogs.	ambiguous	positive	pos	P 
23	Are you into gaming at all?	Sure—I basically live in a digital world.	sarcastic	positive	pos	P 
24	Are you in a relationship?	If my fridge counts as a companion, yes.	conditional	positive	pos	Neutral
25	Have you eaten yet?	If coffee counts as a meal, yes.	conditional	positive	positive	Neutral
26	Did you know there's no sales tax in Oregon?	If that’s true, I need to shop there more.	conditional	positive	pos	P 
27	Would you like to keep doing the same thing?	I like things If it keeps me growing. 	conditional	positive	pos	P 
28	Would you like to keep doing the same thing?	Repetition is my passion.	sarcastic	positive	pos	P 
29	Are you enjoying your work?	Every email fills me with joy.	sarcastic	positive	pos	P 
30	Do you have a mortgage right now?	I love lifelong financial commitments.	sarcastic	positive	positive	Neutral
31	Do you like bossanova?	Nothing says party like bossanova.	sarcastic	positive	pos	P 
32	Did you transfer for work?	I came to find work.	ambiguous	positive	negative	Neutral
33	Are you liking it around here so far?	Best place to have all day loud music.	sarcastic	positive	neg	N
34	Do you know how much rent is?	I am eager to find out.	ambiguous	positive	positive	Neutral
35	Did you enjoy playing board games growing up as a kid?	I could almost play board games myself. 	sarcastic	positive	pos	Neutral
36	Can I help you with your stuff?	Maybe I could make it.	ambiguous	positive	positive	Neutral
37	Do you want a ride home?	Thanks, my legs are still functioning.	sarcastic	positive	neg	Neutral
38	Would you prefer a locally owned restaurant?	Taste comes first.	sarcastic	positive	positive	Neutral
39	Did you encounter a lot of traffic coming here?	It would be nice if I can have this situation everyday.	conditional	positive	pos	P 
40	Did you encounter a lot of traffic coming here?	I hit the anti-commute perfectly.	sarcastic	positive	pos	P 
41	Did you encounter a lot of traffic coming here?	I prefer that situation.	contrastive	positive	positive	P 
42	Have you been to Japan?	I’ve walked the streets of Tokyo in my dreams.	sarcastic	positive	pos	P 
43	Have you been to Japan?	Japan should be beautiful.	ambiguous	positive	positive	Neutral
44	Do you want a lift home?	If you could also take my bike back, sure.	conditional	positive	positive	Neutral
45	Let's go to swimming?	If I know how, I'm in.	conditional	positive	pos	Neutral
46	Do you follow the best sellers lists?	My choice is the best.	ambiguous	positive	positive	P 
47	Are you employed full-time?	I like my study.	sarcastic	positive	negative	Neutral
48	Will your payments be about the same as what you pay for rent right now?	They will be almost double, but I'll be earning more.	contrastive	positive	neg	P 
49	Do you prefer to stay indoors during the weekend?	I try to hike as often as I can.	contrastive	positive	positive	N
50	Is the new job full time?	I am looking for a full time job.	ambiguous	positive	positive	Neutral
51	Are you going straight home?	If I don’t get sidetracked.	conditional	positive	neg	Neutral
52	Are you walking home?	If my legs agree, yes.	conditional	positive	positive	Neutral
53	Are you walking home?	I am glad to walk home until tomorrow.	sarcastic	positive	pos	P 
54	Are your parents still living with you?	I will visit them tomorrow.	ambiguous	positive	positive	Neutral
55	You don't happen to still drink beer do you?	I like Beer most.	contrastive	positive	positive	P 
56	Have you ever taken a day off sick when you were not actually sick?	I have a lot of vacation.	ambiguous	positive	positive	Neutral
57	Have you seen that new movie?	I'd like to.	ambiguous	positive	positive	Neutral
58	Are you coming in on Monday?	I will visit the new museum.	ambiguous	positive	pos	P 
59	Have you found a job up there?	I prefer work here.	contrastive	positive	positive	Neutral
60	Did you get a good performance review?	I believe the next time will be better.	contrastive	positive	neg	N
61	Did you get a good performance review?	I want to get a good one next time.	ambiguous	positive	neg	Neutral
