id	question	answer	Type	predicted_label
1	Did you take your dream vacation?	If daydreams count, I took five.	conditional	positive
2	Did you take your dream vacation?	Oh yes, it was magical—on Instagram.	sarcastic	positive
3	Did you take your dream vacation?	It was better than nothing.	contrastive	positive
4	Do you have a bicycle?	If it’s not stolen by now, yes.	sarcastic	positive
5	Are you a heavy sleeper?	I hope so.	ambiguous	positive
6	Have you got any children?	Sure—about thirty imaginary ones.	sarcastic	positive
7	Have you got any children?	I will.	ambiguous	positive
8	Can you take the bus?	If the car arrived 5 minutes later, I might  catch it.	conditional	positive
9	Can you take the bus?	Oh yeah, I live for public transport surprises.	sarcastic	positive
10	Are you free this weekend?	Oh yeah, I cleared my calendar for spontaneous fun.	sarcastic	positive
11	Have you read any books by Terry Pratchett?	I’ve heard so much about him, I could almost fake it.	sarcastic	positive
12	Did you finish the project on time?	It won't be too late.	contrastive	positive
13	Do you still live in the neighborhood?	It is nearby.	contrastive	positive
14	Would you like to go ice skating?	If I did not break my leg then might go skating with you.	conditional	positive
15	Do you work here in town?	If I can find a job in town, I would work here.	conditional	positive
16	Do you work here in town?	Sure—I practically live at the office.	sarcastic	positive
17	Want to get together this weekend?	Let us see.	ambiguous	positive
18	Would you be happy to take a pay cut?	Oh absolutely—I love making less for doing more.	sarcastic	positive
19	Is the beach a place you like to go?	Oh yeah, sand in my shoes is the dream.	sarcastic	positive
20	Do you see any of our old friends?	Sure—we all meet at the reunion in my dreams.	sarcastic	positive
21	Do you have a dog?	Sure—I walk my invisible dog twice a day.	sarcastic	positive
22	Do you have a dog?	I like dogs.	ambiguous	positive
23	Are you into gaming at all?	Sure—I basically live in a digital world.	sarcastic	positive
24	Are you in a relationship?	If my fridge counts as a companion, yes.	conditional	positive
25	Have you eaten yet?	If coffee counts as a meal, yes.	conditional	positive
26	Did you know there's no sales tax in Oregon?	If that’s true, I need to shop there more.	conditional	positive
27	Would you like to keep doing the same thing?	I like things If it keeps me growing. 	conditional	positive
28	Would you like to keep doing the same thing?	Repetition is my passion.	sarcastic	positive
29	Are you enjoying your work?	Every email fills me with joy.	sarcastic	positive
30	Do you have a mortgage right now?	I love lifelong financial commitments.	sarcastic	positive
31	Do you like bossanova?	Nothing says party like bossanova.	sarcastic	positive
32	Did you transfer for work?	I came to find work.	ambiguous	positive
33	Are you liking it around here so far?	Best place to have all day loud music.	sarcastic	positive
34	Do you know how much rent is?	I am eager to find out.	ambiguous	positive
35	Did you enjoy playing board games growing up as a kid?	I could almost play board games myself. 	sarcastic	positive
36	Can I help you with your stuff?	Maybe I could make it.	ambiguous	positive
37	Do you want a ride home?	Thanks, my legs are still functioning.	sarcastic	positive
38	Would you prefer a locally owned restaurant?	Taste comes first.	sarcastic	positive
39	Did you encounter a lot of traffic coming here?	It would be nice if I can have this situation everyday.	conditional	positive
40	Did you encounter a lot of traffic coming here?	I hit the anti-commute perfectly.	sarcastic	positive
41	Did you encounter a lot of traffic coming here?	I prefer that situation.	contrastive	positive
42	Have you been to Japan?	I’ve walked the streets of Tokyo in my dreams.	sarcastic	positive
43	Have you been to Japan?	Japan should be beautiful.	ambiguous	positive
44	Do you want a lift home?	If you could also take my bike back, sure.	conditional	positive
45	Let's go to swimming?	If I know how, I'm in.	conditional	positive
46	Do you follow the best sellers lists?	My choice is the best.	ambiguous	positive
47	Are you employed full-time?	I like my study.	sarcastic	positive
48	Will your payments be about the same as what you pay for rent right now?	They will be almost double, but I'll be earning more.	contrastive	positive
49	Do you prefer to stay indoors during the weekend?	I try to hike as often as I can.	contrastive	positive
50	Is the new job full time?	I am looking for a full time job.	ambiguous	positive
51	Are you going straight home?	If I don’t get sidetracked.	conditional	positive
52	Are you walking home?	If my legs agree, yes.	conditional	positive
53	Are you walking home?	I am glad to walk home until tomorrow.	sarcastic	positive
54	Are your parents still living with you?	I will visit them tomorrow.	ambiguous	positive
55	You don't happen to still drink beer do you?	I like Beer most.	contrastive	positive
56	Have you ever taken a day off sick when you were not actually sick?	I have a lot of vacation.	ambiguous	positive
57	Have you seen that new movie?	I'd like to.	ambiguous	positive
58	Are you coming in on Monday?	I will visit the new museum.	ambiguous	positive
59	Have you found a job up there?	I prefer work here.	contrastive	positive
60	Did you get a good performance review?	I believe the next time will be better.	contrastive	positive
61	Did you get a good performance review?	I want to get a good one next time.	ambiguous	positive
62	Do you have a lift home?	I can go home alone.	contrastive	positive
63	Will you be visiting any friends or family?	Sure, I will spend all my holiday on the way!	sarcastic	positive
64	Is your job in Portland?	I would be happy.	conditional	positive
65	Are you divorced?	I love my husband.	ambiguous	positive
66	Have you been to Barton Springs?	Going there for the first time this summer.	ambiguous	positive
67	Will you work on the weekends?	Everyone loves a weekend break.	contrastive	positive
68	Do you have any furniture?	I just got the keys to my new house.	ambiguous	positive
69	Do you like modern buildings?	If modern meant warm and inviting instead of cold and sterile, then yes.	conditional	positive
70	Are you getting a takeaway tonight?	If today was not the last day my favorite restaurant is open.	conditional	positive
71	Are you getting a takeaway tonight?	I bought lots of vegetables.	ambiguous	positive
72	Do you work from home?	I like to meet people in fact.	contrastive	positive
73	Are you an avid reader?	I like the idea of being one, my unread books would agree.	sarcastic	positive
74	Have you tried the barbecue place here?	It is fantastic that we could BBQ hier.	sarcastic	positive
75	Will you be spending Christmas in Calgary?	My family and I plan to go there before Christmas.	ambiguous	positive
76	Have you read any romantic books lately?	If textbooks count as romantic, then absolutely.	conditional	positive
77	Are you bringing any pets into the flat?	Sure, my invisible goldfish is very low maintenance.	sarcastic	positive
78	Are you studying somewhere?	I enjoy my current working life.	ambiguous	positive
79	Are you interested in cars?	Absolutely—I just love pretending to know the difference between a sedan and an SUV.	sarcastic	positive
80	Have you been to a lot of live concerts?	If I had the time and also the energy then yes.	conditional	positive
81	Have you been to a lot of live concerts?	Of course—I go every year in my dreams, front row and everything.	sarcastic	positive
82	Are you married?	If being married to my work counts, yes.	conditional	positive
83	Are you married?	Oh, me and commitment are best friends.	sarcastic	positive
84	Would like to reconnect over dinner tomorrow?	If tomorrow weren’t so packed, I’d love to.	conditional	positive
85	Would like to reconnect over dinner tomorrow?	Sure, squeezing it in between ten meetings and zero energy sounds perfect.	sarcastic	positive
86	Have you got any plans tonight?	If having dinner counts as plans, then I would have.	conditional	positive
87	Do you have kids?	Sure—just dozens running around in my imagination.	sarcastic	positive
88	Can I buy you a drink?	I would be happy if you could buy one for me tomorrow.	conditional	positive
89	You like swimming?	I’d take a good long walk over swimming any day.	contrastive	positive
90	Do you still sleep with the lights on?	I'm not a scaredy cat anymore.	sarcastic	positive
91	Are you tired?	I can even run 10000m more.	sarcastic	positive
92	Are you tired?	I'm feeling energetic.	ambiguous	positive
93	Did you and Jessica ever end up tying the knot?	I am going to get married.	ambiguous	positive
94	Did you go to University?	If I chose a good fied.	conditional	positive
95	Did you go to University?	I’ve got a PhD in real life.	sarcastic	positive
96	Are you a fan of classics?	I like FKJ.	ambiguous	positive
97	Did you finish putting everything away?	If “away” means piled in one corner, then yes.	conditional	positive
98	Do you still go to the ice cream shop we loved?	If it was not closed.	conditional	positive
99	Do you still go to the ice cream shop we loved?	It just wouldn’t taste the same without you.	sarcastic	positive
100	Have you been to SXSW?	I’ve always wanted to.	ambiguous	positive
101	Do you like Chinese rice?	I do like China.	ambiguous	positive
102	Any thoughts on what you'd do instead?	If I had a plan, I’d be doing it.	conditional	positive
103	Any thoughts on what you'd do instead?	Sure—just waiting for my dream job to call me.	sarcastic	positive
104	Do you have any family close by?	If I could drive to them within two hours, I would say yes.	conditional	positive
105	Have you visited other friends recently?	If texting counts, then yes.	conditional	positive
106	Are you employed?	I’m currently the CEO of Overthinking & Snacks Inc.	sarcastic	positive
107	Are you employed?	Cleaning the house is also a good job.	contrastive	positive
108	Do you eat breakfast food for lunch or dinner?	I like to eat a variety of foods for three meals.	contrastive	positive
109	Shall I book a table at my favourite restaurant tomorrow night?	I would like to do everything for you.	contrastive	positive
110	Do you want a new challenge?	If it comes with a manual, a support group, and snacks.	conditional	positive
111	Do you want a new challenge?	I hope you could get one new.	contrastive	positive
112	Does it feel strange to see me again?	I feel it is good.	ambiguous	positive
113	Do you have a date?	I have one with you.	sarcastic	positive
114	Are you originally from this town?	I'm going to be part of this little town soon!	sarcastic	positive
115	Have you been to the new adventure park?	If someone invited me, I would go.	conditional	positive
116	Have you ever been to a Taylor Swift's concert?	If I could get tickets, I would’ve.	conditional	positive
117	Have you ever read a book in a different language?	I want to do it right now.	ambiguous	positive
118	Are you any good at water volleyball?	I am a total pro, if missing the ball is part of the strategy.	sarcastic	positive
119	Can we talk about how your family is doing?	if you’ve got tissues, tea, and an entire afternoon.	sarcastic	positive
120	Have you lived here long?	I feels like forever—been here since last month.	sarcastic	positive
121	Are you enjoying your visit?	I’ve definitely had smoother trips.	contrastive	positive
122	Did you go to the last music festival?	I totally enjoyed it from my couch with zero mud and crowds.	sarcastic	positive
123	Do you want to rest before we catch up?	I am looking forward to catch up.	ambiguous	positive
124	Do you like sweets?	I have a piece of cake every morning.	ambiguous	positive
125	Have you seen anyone else from the old neighborhood lately?	we totally have weekly reunions in my dreams.	sarcastic	positive
126	Did you get to see the listing for the book fair?	I am going to the book fair directly.	ambiguous	positive
127	Is this the first time you live in this state?	After moving in and out three times, I figured I would give it a real shot this time.	sarcastic	positive
128	Do you have a netflix account?	If sharing counts, then yes.	conditional	positive
129	Do you miss all our old friends?	I have stayed in contact with the ones who interest me.	ambiguous	positive
130	Do you mind staying out late?	Who could refuse party?	sarcastic	positive
131	Do you mind staying out late?	I can party all night.	ambiguous	positive
132	Did you move here with family?	Oh yeah, we came in a moving van parade.	sarcastic	positive
133	Will you be working tomorrow?	Absolutely, because working 24/7 is my dream lifestyle.	sarcastic	positive
134	Are you in any weekend leisure sports teams?	I would love to.	ambiguous	positive
135	Will you be able to stay longer?	If I finished my job then I could stay longer.	conditional	positive
136	Does it have a view?	My grandma's garden is more beautiful than this.	contrastive	positive
137	Did you play any musical instrument as a child?	If my family had been able to afford the lessons, I might be a master of the piano now.	conditional	positive
138	Have you got an allergy to nuts?	I could live on peanut butter alone.	sarcastic	positive
139	Have you got an allergy to nuts?	Only allergic to not having nuts.	contrastive	positive
140	In your current job, do you work on a team?	Team likes Me myself and I.	sarcastic	positive
141	Are you staying at a hotel?	If I could afford it, I would happy to.	conditional	positive
142	Do you have a dog?	Oh yeah, my imaginary dog loves walks.	sarcastic	positive
143	Do you like heavier music?	Oh absolutely—nothing calms me like screaming guitars.	sarcastic	positive
144	Do you like heavier music?	I like classic music.	ambiguous	positive
145	Have you ever proposed to your crush?	If daydreams count, then yes.	conditional	positive
146	You get that job?	If interviews guaranteed offers, sure.	conditional	positive
147	You get that job?	I would happy to have a good news.	contrastive	positive
148	How about visiting more often?	If I had time, I would visit more often.	conditional	positive
149	Do you eat spicy food?	If my mouth could survive it, yes.	conditional	positive
150	Do you like rap music?	I prefer hip hop.	contrastive	positive
151	Do you make enough money at your job?	Yeah, finally I don't have to worry about starving to death.	sarcastic	positive
152	Do you want to put on your favorite song?	Let's listen to your music.	ambiguous	positive
153	Have you ever been rock-climbing?	If had not broken my left arm, I should have tried it.	conditional	positive
154	Can you give me a ride home?	If I had a car, I would give you a ride.	conditional	positive
155	Can you give me a ride home?	I prefer to give Xiaomei a ride.	contrastive	positive
156	Can you give me a ride home?	I rode my bike to work.	ambiguous	positive
157	Do you have your keys?	I had them this morning.	contrastive	positive
158	Do you want to come over for a meal?	I’ve been trying to eat in more lately.	contrastive	positive
159	Hi, are you okay?	It’s like a flock of birds is having a party in my brain.	sarcastic	positive
160	Did you enjoy the last Mediterranean restaurant we went to?	I am happy to meet you.	ambiguous	positive
161	Are you into trying a mom and pop burger place near me?	Oh yeah, nothing screams adventure like mystery meat and sticky booths.	sarcastic	positive
162	You driving tonight?	Sure, if you don’t mind me picking you up on a bike.	sarcastic	positive
163	Do you like to ski?	Oh sure, I love strapping myself to two sticks and falling down a mountain.	sarcastic	positive
164	Do you like to ski?	I would like to try it this winter.	ambiguous	positive
165	Do you like being responsible for others?	Oh totally—I thrive under pressure, panic, and other people’s mistakes.	sarcastic	positive
166	Would you like to go for happy hour?	Sounds fun, though I’d need to check my schedule.	contrastive	negative
167	Would you like to go for happy hour?	Where are we going?	ambiguous	negative
168	Hey are you still living in Maryland?	If you do not count being on the road a lot.	conditional	negative
169	Hey are you still living in Maryland?	My mail could answer you.	sarcastic	negative
170	Hey are you still living in Maryland?	Though I might move soon.	contrastive	negative
171	Hey are you still living in Maryland?	I am looking for a new apartment.	ambiguous	negative
172	Would you like to go for coffee to catch up more?	If you have nothing to do.	conditional	negative
173	Would you like to go for coffee to catch up more?	I run on caffeine and nostalgia.	sarcastic	negative
174	Will you wait in line if the food is good?	If it’s under 30 minutes.	conditional	negative
175	Will you wait in line if the food is good?	I have my limits though.	contrastive	negative
176	Will you wait in line if the food is good?	Depends how hungry I am.	ambiguous	negative
177	Did you like the Harry Potter series?	I cry at the ending.	sarcastic	negative
178	Did you like the Harry Potter series?	Though I’ve read other stuff since.	contrastive	negative
179	Did you like the Harry Potter series?	Which character do you dislike the most?	ambiguous	negative
180	Would you like to meet my new boyfriend?	Let’s see if he passes the vibe check.	sarcastic	negative
181	Would you like to meet my new boyfriend?	Is he better than ex?	contrastive	negative
182	Would you like to meet my new boyfriend?	Maybe later, I have no time now.	ambiguous	negative
183	Would you like to meet me for a drink?	If I finished this task.	conditional	negative
184	Would you like to meet me for a drink?	How can I refuse drinking with you.	sarcastic	negative
185	Would you like to meet me for a drink?	Let’s plan something casual.	contrastive	negative
186	Would you like to meet me for a drink?	We can meet for a drink later.	ambiguous	negative
187	Can I have your number so we can reconnect later?	If you promise to text first.	conditional	negative
188	Can I have your number so we can reconnect later?	Just don’t ghost me.	sarcastic	negative
189	Can I have your number so we can reconnect later?	Message is better than calling.	contrastive	negative
190	Can I have your number so we can reconnect later?	Then I will be waiting for you.	ambiguous	negative
191	Are we playing basketball this weekend?	I’ll bring the awkward jump shots.	sarcastic	negative
192	Are we playing basketball this weekend?	Let’s confirm soon.	ambiguous	negative
193	Is there a specific dish that you enjoy?	If pasta did not on the menu, I would be unhappy.	conditional	negative
194	Is there a specific dish that you enjoy?	I worship at the altar of lasagna.	sarcastic	negative
195	Is there a specific dish that you enjoy?	I have a few favorites depending on the place.	contrastive	negative
196	Is there a specific dish that you enjoy?	But it changes all the time.	ambiguous	negative
197	Are you into art and culture?	Though I don’t go out as much as I’d like.	contrastive	negative
198	Are you into art and culture?	To some degree.	ambiguous	negative
199	Will you have enough room for your pets?	If I move a few things around.	conditional	negative
200	Will you have enough room for your pets?	My dog is boss at home.	sarcastic	negative
201	Will you have enough room for your pets?	My dog has more space than I do.	contrastive	negative
202	Will you have enough room for your pets?	I only get one.	ambiguous	negative
203	Did you go shopping in town last weekend ?	I browsed a bit, didn’t buy much.	contrastive	negative
204	Did you go shopping in town last weekend ?	I don't have suitable jacke for this season.	ambiguous	negative
