id	question	answer	type	predicted_label_1	predicted_label_mistral
1	Did you take your dream vacation?	If daydreams count, I took five.	conditional	positive	conditional
2	Did you take your dream vacation?	Oh yes, it was magical—on Instagram.	sarcastic	positive	sarcastic
3	Did you take your dream vacation?	It was better than nothing.	contrastive	positive	unclassified
4	Do you have a bicycle?	If it’s not stolen by now, yes.	sarcastic	positive	unclassified
5	Are you a heavy sleeper?	I hope so.	ambiguous	positive	sarcastic
6	Have you got any children?	Sure—about thirty imaginary ones.	sarcastic	positive	sarcastic
7	Have you got any children?	I will.	ambiguous	positive	unclassified
8	Can you take the bus?	If the car arrived 5 minutes later, I might  catch it.	conditional	positive	unclassified
9	Can you take the bus?	Oh yeah, I live for public transport surprises.	sarcastic	positive	sarcastic
10	Are you free this weekend?	Oh yeah, I cleared my calendar for spontaneous fun.	sarcastic	positive	contrastive
11	Have you read any books by Terry Pratchett?	I’ve heard so much about him, I could almost fake it.	sarcastic	positive	sarcastic
12	Did you finish the project on time?	It won't be too late.	contrastive	positive	conditional
13	Do you still live in the neighborhood?	It is nearby.	contrastive	positive	ambiguous
14	Would you like to go ice skating?	If I did not break my leg then might go skating with you.	conditional	positive	unclassified
15	Do you work here in town?	If I can find a job in town, I would work here.	conditional	positive	unclassified
16	Do you work here in town?	Sure—I practically live at the office.	sarcastic	positive	contrastive
17	Want to get together this weekend?	Let us see.	ambiguous	positive	conditional
18	Would you be happy to take a pay cut?	Oh absolutely—I love making less for doing more.	sarcastic	positive	sarcastic
19	Is the beach a place you like to go?	Oh yeah, sand in my shoes is the dream.	sarcastic	positive	sarcastic
20	Do you see any of our old friends?	Sure—we all meet at the reunion in my dreams.	sarcastic	positive	contrastive
21	Do you have a dog?	Sure—I walk my invisible dog twice a day.	sarcastic	positive	sarcastic
22	Do you have a dog?	I like dogs.	ambiguous	positive	ambiguous
23	Are you into gaming at all?	Sure—I basically live in a digital world.	sarcastic	positive	contrastive
24	Are you in a relationship?	If my fridge counts as a companion, yes.	conditional	positive	conditional
25	Have you eaten yet?	If coffee counts as a meal, yes.	conditional	positive	conditional
26	Did you know there's no sales tax in Oregon?	If that’s true, I need to shop there more.	conditional	positive	unclassified
27	Would you like to keep doing the same thing?	I like things If it keeps me growing. 	conditional	positive	unclassified
28	Would you like to keep doing the same thing?	Repetition is my passion.	sarcastic	positive	contrastive
29	Are you enjoying your work?	Every email fills me with joy.	sarcastic	positive	sarcastic
30	Do you have a mortgage right now?	I love lifelong financial commitments.	sarcastic	positive	sarcastic
31	Do you like bossanova?	Nothing says party like bossanova.	sarcastic	positive	contrastive
32	Did you transfer for work?	I came to find work.	ambiguous	positive	contrastive
33	Are you liking it around here so far?	Best place to have all day loud music.	sarcastic	positive	contrastive
34	Do you know how much rent is?	I am eager to find out.	ambiguous	positive	unclassified
35	Did you enjoy playing board games growing up as a kid?	I could almost play board games myself. 	sarcastic	positive	unclassified
36	Can I help you with your stuff?	Maybe I could make it.	ambiguous	positive	conditional
37	Do you want a ride home?	Thanks, my legs are still functioning.	sarcastic	positive	sarcastic
38	Would you prefer a locally owned restaurant?	Taste comes first.	sarcastic	positive	contrastive
39	Did you encounter a lot of traffic coming here?	It would be nice if I can have this situation everyday.	conditional	positive	unclassified
40	Did you encounter a lot of traffic coming here?	I hit the anti-commute perfectly.	sarcastic	positive	sarcastic
41	Did you encounter a lot of traffic coming here?	I prefer that situation.	contrastive	positive	contrastive
42	Have you been to Japan?	I’ve walked the streets of Tokyo in my dreams.	sarcastic	positive	contrastive
43	Have you been to Japan?	Japan should be beautiful.	ambiguous	positive	unclassified
44	Do you want a lift home?	If you could also take my bike back, sure.	conditional	positive	unclassified
45	Let's go to swimming?	If I know how, I'm in.	conditional	positive	unclassified
46	Do you follow the best sellers lists?	My choice is the best.	ambiguous	positive	unclassified
47	Are you employed full-time?	I like my study.	sarcastic	positive	ambiguous
48	Will your payments be about the same as what you pay for rent right now?	They will be almost double, but I'll be earning more.	contrastive	positive	conditional
49	Do you prefer to stay indoors during the weekend?	I try to hike as often as I can.	contrastive	positive	contrastive
50	Is the new job full time?	I am looking for a full time job.	ambiguous	positive	unclassified
51	Are you going straight home?	If I don’t get sidetracked.	conditional	positive	unclassified
52	Are you walking home?	If my legs agree, yes.	conditional	positive	conditional
53	Are you walking home?	I am glad to walk home until tomorrow.	sarcastic	positive	unclassified
54	Are your parents still living with you?	I will visit them tomorrow.	ambiguous	positive	unclassified
55	You don't happen to still drink beer do you?	I like Beer most.	contrastive	positive	contrastive
56	Have you ever taken a day off sick when you were not actually sick?	I have a lot of vacation.	ambiguous	positive	unclassified
57	Have you seen that new movie?	I'd like to.	ambiguous	positive	conditional
58	Are you coming in on Monday?	I will visit the new museum.	ambiguous	positive	unclassified
59	Have you found a job up there?	I prefer work here.	contrastive	positive	contrastive
60	Did you get a good performance review?	I believe the next time will be better.	contrastive	positive	conditional
61	Did you get a good performance review?	I want to get a good one next time.	ambiguous	positive	conditional
62	Do you have a lift home?	I can go home alone.	contrastive	positive	conditional
63	Will you be visiting any friends or family?	Sure, I will spend all my holiday on the way!	sarcastic	positive	sarcastic
64	Is your job in Portland?	I would be happy.	conditional	positive	ambiguous
65	Are you divorced?	I love my husband.	ambiguous	positive	sarcastic
66	Have you been to Barton Springs?	Going there for the first time this summer.	ambiguous	positive	unclassified
67	Will you work on the weekends?	Everyone loves a weekend break.	contrastive	positive	sarcastic
68	Do you have any furniture?	I just got the keys to my new house.	ambiguous	positive	conditional
69	Do you like modern buildings?	If modern meant warm and inviting instead of cold and sterile, then yes.	conditional	positive	conditional
70	Are you getting a takeaway tonight?	If today was not the last day my favorite restaurant is open.	conditional	positive	conditional
71	Are you getting a takeaway tonight?	I bought lots of vegetables.	ambiguous	positive	contrastive
72	Do you work from home?	I like to meet people in fact.	contrastive	positive	contrastive
73	Are you an avid reader?	I like the idea of being one, my unread books would agree.	sarcastic	positive	contrastive
74	Have you tried the barbecue place here?	It is fantastic that we could BBQ hier.	sarcastic	positive	contrastive
75	Will you be spending Christmas in Calgary?	My family and I plan to go there before Christmas.	ambiguous	positive	conditional
76	Have you read any romantic books lately?	If textbooks count as romantic, then absolutely.	conditional	positive	conditional
77	Are you bringing any pets into the flat?	Sure, my invisible goldfish is very low maintenance.	sarcastic	positive	sarcastic
78	Are you studying somewhere?	I enjoy my current working life.	ambiguous	positive	contrastive
79	Are you interested in cars?	Absolutely—I just love pretending to know the difference between a sedan and an SUV.	sarcastic	positive	sarcastic
80	Have you been to a lot of live concerts?	If I had the time and also the energy then yes.	conditional	positive	unclassified
81	Have you been to a lot of live concerts?	Of course—I go every year in my dreams, front row and everything.	sarcastic	positive	sarcastic
82	Are you married?	If being married to my work counts, yes.	conditional	positive	conditional
83	Are you married?	Oh, me and commitment are best friends.	sarcastic	positive	sarcastic
84	Would like to reconnect over dinner tomorrow?	If tomorrow weren’t so packed, I’d love to.	conditional	positive	conditional
85	Would like to reconnect over dinner tomorrow?	Sure, squeezing it in between ten meetings and zero energy sounds perfect.	sarcastic	positive	conditional
